dataset_id,title,organization,dataset_source,license_title,tags,formats,notes_snippet
20a343cb-bbc3-41d7-8f3d-4a8990e0f32c,Sierra Leone - Internal Displacements Updates (IDU) (event data),Internal Displacement Monitoring Centre (IDMC),IDMC,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),displacement;flooding;internally displaced persons-idp,csv,"Conflict and disaster population movement (flows) data for Sierra Leone. The <strong>IDU (Internal Displacement Updates) dataset</strong>, provided by the <a href=""https://www.internal-displacement.org/"">Internal Displacement Monitoring Centre (IDMC)</a>, offers timely event data and provisional information on new internal displacements caused by c…"
db7eb04e-28b0-41e1-86d6-43700f751834,Philippines - Research and development expenditures in private establishments,OCHA Philippines,National Statistics Coordination Board (NSCB),Other,socioeconomics,xls,This dataset shows the Research and development expenditures in private establishments from 2003 to 2009 in thousand pesos
9be68a53-7a75-4792-ae91-e09dcff38e11,"Sudan - Durable Solutions Analysis Survey: West Darfur State, 2021",UNHCR - The UN Refugee Agency,"UNHCR, JIPS",Other,food security;livelihoods;needs assessment;peacekeeping;protection;survey,pdf;web app,"Protracted and new displacements of large numbers of people as well as complex conflict dynamics continue to be a major issue in Darfur. In 2020, an estimated 2.5 million people were internally displaced and close to 400,000 Darfuris refugees resided in neighbouring countries. The political transition following years of conflict paved the way for t…"
0c2f8c53-52ce-4e35-bf20-9d5531c21dd7,Malta - Food Security and Nutrition Indicators,Food and Agriculture Organization (FAO) of the United Nations,FAOSTAT,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),food security;hxl;indicators;nutrition,csv,"Food Security and Nutrition Indicators for Malta. Contains data from the FAOSTAT <a href=""https://fenixservices.fao.org/faostat/static/bulkdownloads/datasets_E.json"">bulk data service</a>."
0b6ce366-8651-43aa-8c36-9f3fdc8d6b4f,Madagascar - Subnational Population Statistics,OCHA Regional Office for Southern and Eastern Africa (ROSEA),INSTAT / Madagascar BNGRC (National Disaster Management Agency ) 2009 population data,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),baseline population;gazetteer,csv;xls;xlsx,"Madagascar administrative level 0-4 2018 population statistics REFERENCE YEAR: 2018 These CSV tables are suitable for database or GIS linkage to the <a href=""https://data.humdata.org/dataset/cod-ab-mdg"">Madagascar administrative level 0 - 4 boundaries</a> shapefiles."
230d6112-6379-4078-ab85-10ea7013e246,Haiti IOM Displacement Tracking Matrix (DTM) from API,International Organization for Migration (IOM),International Organization for Migration (IOM),Other,conflict-violence;displacement;forced displacement;hxl;internally displaced persons-idp,csv,"This dataset comes from the International Organization for Migration (IOM)'s displacement tracking matrix (DTM) <a href=""https://dtm.iom.int/data-and-analysis/dtm-api"">publicly accessible API</a>. This API allows the humanitarian community, academia, media, government, and non-governmental organizations to utilize the data collected by DTM. The DTM…"
50ebf55f-be85-4c62-a029-69a890022890,Nicaragua - Poverty,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),hxl;indicators;poverty,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-nicaragua"">consolidated country dataset</a> on HDX. For countries with an active poverty monitoring program, the World Bank—in collaboration with national institutions…"
5636ff16-ff75-4c9a-a797-ced3586e8440,"Geodata of Neighborhood Damage Assessment Kobane, Aleppo Governorate, Syria",United Nations Satellite Centre (UNOSAT),UNOSAT,Other,complex emergency-conflict-security;geodata,shp,"This map illustrates satellite-detected damage and destruction per neighborhood in the city of Kobane, Aleppo Governorate, Syria. Using satellite imagery acquired 22 January 2015 compared with imagery from 6 September 2014, UNITAR / UNOSAT identified a total of 2,730 affected structures by 22 January 2015 within the neighborhoods. Approximately 961…"
bb8992cf-b74e-4297-9d09-409ca043f552,Ecuador: Enrollment Base Education in Quito,Hub Latin America,Instituto de Geografia – USFQ and U.S Department of State,Creative Commons Attribution Share-Alike (CC BY-SA),education,shp,"Number of male and female students and their totality by educational institution, area, type of education, regime, modality, access in the period (2019-2020)"
dfad6f49-1acb-43d5-b494-8ee458efb180,Neonatal deaths as a percentage of under-five deaths,UNICEF Data and Analytics (HQ),"The indicator data draw on inter-agency estimates and nationally representative household surveys such as Multiple Indicator Cluster Surveys (MICS) and Demographic and Health Surveys (DHS). In addition, data from administrative sources and other United Nations organizations have been used. More detailed information on the data sources is provided at https://data.unicef.org/.",CC BY 3.0 IGO,children;health;indicators,csv;xml,Neonatal deaths as a percentage of under-five deaths
0a6ead52-a0c9-4135-be6a-95b0961ed1d8,Guinea - Food Security and Nutrition Indicators,Food and Agriculture Organization (FAO) of the United Nations,FAOSTAT,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),food security;hxl;indicators;nutrition,csv,"Food Security and Nutrition Indicators for Guinea. Contains data from the FAOSTAT <a href=""https://fenixservices.fao.org/faostat/static/bulkdownloads/datasets_E.json"">bulk data service</a>."
d071bf6b-096b-4c71-96cb-3735c23c7e30,Nepal - Data on forcibly displaced populations and stateless persons,UNHCR - The UN Refugee Agency,UNHCR,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),asylum seekers;hxl;internally displaced persons-idp;population;refugees;stateless persons,csv,"Data collated by UNHCR, containing information about forcibly displaced populations and stateless persons, spanning across more than 70 years of statistical activities. The data includes the countries / territories of asylum and origin. Specific resources are available for end-year population totals, demographics, asylum applications, decisions, an…"
49ccc745-58e9-4aab-af18-863ddac8481f,Zambia - Current IATI Aid Activities,International Aid Transparency Initiative,Various IATI reporting organisations,Other,funding;hxl;who is doing what and where-3w-4w-5w,csv,"List of active aid activities shared via the International Aid Transparency Initiative (IATI). Includes both humanitarian and development activities. More information on each activity (including financial data) is available from <a href=""http://www.d-portal.org"">http://www.d-portal.org</a>"
f16d5148-30ab-4fb9-aa79-2a563ebeee91,Mauritius - Social Protection and Labor,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),hxl;indicators;socioeconomics,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-mauritius"">consolidated country dataset</a> on HDX. The supply of labor available in an economy includes people who are employed, those who are unemployed but seeking …"
ca833870-fa8c-483f-8dc4-ad6751e8b320,Maldives - GCF Funded Activities,Green Climate Fund,Multiple sources,Creative Commons Attribution International (CC BY),climate-weather;funding,csv,"This dataset provides a list of climate funded activities showing the modality, project, name of entity, countries funded, the sector, theme, project size, ESS Category and FA financing."
9af148c5-f1bc-4ff8-8487-b0cf96213326,Dominica - Urban Development,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),development;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-dominica"">consolidated country dataset</a> on HDX. Cities can be tremendously efficient. It is easier to provide water and sanitation to people living closer together,…"
51b0bff3-6626-4e95-881a-7eb7ea77b378,Cayman Islands - Health Indicators,World Health Organization,World Health Organization,Other,hxl;indicators;vaccination-immunization,csv,"This dataset contains data from WHO's <a href=""https://www.who.int/gho/en/"">data portal</a> covering the following categories: Adolescent, Ageing, Air pollution, Assistive technology, Child, Child mortality, Cross-cutting, Dementia diagnosis, treatment and care, Environment and health, Food safety, Global Dementia Observatory (GDO), Global Health E…"
a5f61cda-b02d-42aa-ac7d-db76b5b54ea6,Iraq - IDPs Informal sites profiling and movement intentions,REACH Initiative,REACH Initiative,Creative Commons Attribution International (CC BY),camp coordination and camp management-cccm;complex emergency-conflict-security;internally displaced persons-idp;migration;needs assessment;populated places-settlements,xlsx,"REACH Initiative supports the humanitarian response in Iraq by conducting assessments of informal sites in Iraq, in partnership with the Camp Coordination and Camp Management (CCCM) cluster. The assessment aims to identify movement intentions and highlight the multi-sectoral needs of internally displaced persons (IDPs) residing in informal sites ac…"
dae9cfc5-317d-4358-95bd-2159361ba3fe,"Geodata of Damage Assessment of Homs, Homs Governorate, Syria",United Nations Satellite Centre (UNOSAT),UNOSAT,Other,complex emergency-conflict-security;geodata,shp,"This map illustrates satellite-detected damage and destruction in a portion of the city of Homs, Homs Governorate, Syria. Using satellite imagery acquired 21 April 2014, 26 September 2013, 29 June 2010, and 15 June 2010, UNITAR / UNOSAT identified a total of 10,029 affected structures within the area of this map. Approximately 1,431 of these were d…"
674f76d5-d619-44f3-b180-ed6e01b4e36b,Lesotho Multidimensional Poverty Index,Oxford Poverty & Human Development Initiative,"Oxford Poverty and Human Development Initiative (OPHI), University of Oxford
",Public Domain / No restrictions (CC0),development;education;health;hxl;indicators;mortality;nutrition;poverty;socioeconomics;sustainable development goals-sdg;water sanitation and hygiene-wash,csv,"The global Multidimensional Poverty Index provides the only comprehensive measure available for non-income poverty, which has become a critical underpinning of the SDGs. The global Multidimensional Poverty Index (MPI) measures multidimensional poverty in over 100 developing countries, using internationally comparable datasets and is updated annuall…"
028bcf14-b4f3-4dee-8286-6e0ca2f6eaa4,GRID3 SDN - Settlement Extents v3.0,GRID3,"Center for International Earth Science Information Network (CIESIN), Columbia University",Creative Commons Attribution Share-Alike (CC BY-SA),geodata;populated places-settlements,geopackage;pdf,"The GRID3 SDN - Settlement Extents v3.0 consists of a geographic representation of settlements in Sudan, in two forms: (1) settlement polygons, and (2) spatial points depicting the centroids of settled grid cells at 3-arc seconds (or ~100 meters) contained within settlement polygons. Both layers include attributes as described in the codebooks. The…"
3b20e839-8fb5-480f-b4b3-c4b6a6008320,Aruba - Financial Sector,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),economics;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-aruba"">consolidated country dataset</a> on HDX. An economy's financial markets are critical to its overall development. Banking systems and stock markets enhance growt…"
9c30d410-23ad-4e20-8635-072a9c9bbffa,Fiji - Economy and Growth,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),economics;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-fiji"">consolidated country dataset</a> on HDX. Economic growth is central to economic development. When national income grows, real people benefit. While there is no k…"
7e19610c-7adc-46c5-be30-a09522de09f6,Serbia - Science and Technology,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),economics;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-serbia"">consolidated country dataset</a> on HDX. Technological innovation, often fueled by governments, drives industrial growth and helps raise living standards. Data…"
673630d9-50f4-4a2f-9321-aae1c4a20c73,Zambia: Copernicus Vegetation Index Anomaly (FAPAR Anomaly),Copernicus,"European Commission, Joint Research Centre (JRC)",Creative Commons Attribution International (CC BY),drought;environment,geotiff,Fraction of Absorbed Photosynthetically Active Radiation (FAPAR) is a biophysical dimensionless quantity (its values range from 0/no absorption to 1/total absorption) used to assess the greenness and health of vegetation. FAPAR anomalies can be used as an indicator to detect and monitor the impacts of agricultural drought on the growth and producti…
39b12384-c416-4f10-baf9-eb0dd79530a0,"Costa Rica - Livelihoods Programme Monitoring Beneficiary Survey, 2021",UNHCR - The UN Refugee Agency,UNHCR,Other,agriculture-livestock;employment;livelihoods;operational capacity;survey,pdf;web app,"<code> The UNHCR Livelihoods Monitoring Framework takes a program-based approach to monitoring, with the aim of tracking both outputs and the impact of UNHCR dollars spent on programming (either via partners or through direct implementation). </code> The process for developing the indicators began in 2015 with a review of existing tools and approac…"
4fac924f-9f4b-4017-9c80-011e9dcfd09e,India - Subnational Demographic and Health Data,The DHS Program,The DHS Program,Other,demographics;health;hxl,csv,"Contains data from the <a href=""https://api.dhsprogram.com/"">DHS data portal</a>. There is also a dataset containing <a href=""https://data.humdata.org/dataset/dhs-data-for-india"">India - National Demographic and Health Data</a> on HDX. The DHS Program Application Programming Interface (API) provides software developers access to aggregated indicato…"
7cc9a5cc-91e8-4f3e-9b53-d4b399d775b0,Ethiopia - Hot Spot Woredas,OCHA Ethiopia,Emergency Nutrition Coordination Unit (ENCU),Other,agriculture-livestock;education;health;indicators;markets;nutrition;population,xlsx,"Hotspot woreda classification is derived using six multisector indicators, including agriculture and nutrition, agreed at regional and federal levels. A hotspot matrix is often used as a proxy for the acute Integrated Phase Food Security Classification (IPC) and is indicative of food security and nutrition status. Hotspot woredas require urgent hum…"
26386d8f-e126-447a-b736-3e1ec00c1cef,Burkina Faso - Food Prices,Food and Agriculture Organization (FAO) of the United Nations,FAOSTAT,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),food security;hxl;indicators,csv,"Food Prices for Burkina Faso. Contains data from the FAOSTAT <a href=""https://fenixservices.fao.org/faostat/static/bulkdownloads/datasets_E.json"">bulk data service</a> covering the following categories: Consumer Price Indices, Deflators, Exchange rates, Producer Prices"
22a20d92-a8eb-4cb8-b5eb-bdfbcba4db0c,"Satellite Detected Surface Waters in Maroantsetra area, Analanjirofo region, Madagascar",United Nations Satellite Centre (UNOSAT),UNOSAT,Creative Commons Attribution Share-Alike (CC BY-SA),cyclones-hurricanes-typhoons;geodata,geodatabase;shp,"This map illustrates satellite-detected flood waters over Maroantsetra area, Analanjirofo region in Madagastcar as observed from the TerraSAR-X radar image acquired on 08 March 2017 compared with to a Radarsat-2 image acquired on 04 May 2014. Several zones seem to be inundated and have experienced an increase of standing waters. These zones are mai…"
8c407cec-a993-4928-bdbe-33cfaaee69c3,Gabon - Health Indicators,World Health Organization,World Health Organization,Other,disability;disease;environment;health;hxl;indicators;malaria;maternity;mental health;nutrition;vaccination-immunization;women,csv,"This dataset contains data from WHO's <a href=""https://www.who.int/gho/en/"">data portal</a> covering the following categories: Air pollution, Antimicrobial resistance (AMR), Assistive technology, Child mortality, Dementia diagnosis, treatment and care, Dementia policy and legislation, Environment and health, Foodborne Diseases Estimates, Global Dem…"
23feec54-fe57-441b-a1b8-7c9e42c49225,Costa Rica - Environment,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),environment;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-costa-rica"">consolidated country dataset</a> on HDX. Natural and man-made environmental resources – fresh water, clean air, forests, grasslands, marine resources, and …"
84ae47e6-cf15-4df2-b861-d903fb88da0c,GAR15 Global Exposure Dataset for Pakistan,United Nations Office for Disaster Risk Reduction (UNDRR),UNISDR,Other,disaster risk reduction-drr;geodata;hazards and risk,shp,"The GAR15 global exposure database is based on a top-down approach where statistical information including socio-economic, building type, and capital stock at a national level are transposed onto the grids of 5x5 or 1x1 using geographic distribution of population data and gross domestic product (GDP) as proxies."
7f5e4ec1-e45c-49a3-901b-3183f5153625,Reunion - Conflict Events,Armed Conflict Location & Event Data Project (ACLED),Armed Conflict Location & Event Data Project (ACLED),Other,conflict-violence,xlsx,"A weekly dataset providing the total number of reported political violence, civilian-targeting, and demonstration events in Reunion. Note: These are aggregated data files organized by country-year and country-month. To access full event data, please <a href=""https://acleddata.com/register/"">register</a> to use the <a href=""https://acleddata.com/dat…"
e04e2820-a3db-416c-b694-9ccd1c5443ad,Afghanistan - Socio-economic assessment of Pakistani refugees in Afghanistan's Khost and Paktika provinces 2017,UNHCR - The UN Refugee Agency,Office of the High Commissioner for Refugees,Other,asylum seekers;conflict-violence;displacement;food security;livelihoods;refugees,pdf;web app,"Afghanistan hosts a protracted population of Pakistani refugees, who fled North Waziristan Agency in 2014 as a result of a joint military offensive by Pakistani government forces against non-state armed groups. As of May 2017, UNHCR has biometrically registered over 50,000 refugees in Khost province and 36,000 refugees in Paktika province, where ac…"
623a8bc6-3510-43d8-965c-b6ae8c870e6d,"Geodata of UPDATE: AL Zaatari Refugee camp, Mafraq Governorate, Jordan",United Nations Satellite Centre (UNOSAT),UNOSAT,Other,complex emergency-conflict-security;geodata,shp,"This map illustrates satellite-detected shelters and other buildings at the Al Zaatari refugee camp in Mafraq Governorate, Jordan. As of 11 November 2014 a total of 29,243 shelters were detected as well as 1,915 infrastructure and support buildings within the 534.4 hectares of the camp. Between 06 July 2014 and 11 November 2014, a total of 2,779 sh…"
107708b3-6524-4544-820d-91e7a74836ef,Kenya - Value of Recorded Marketed Agricultural Production at Current Prices,Kenya National Bureau of Statistics (inactive),Kenya Ministry of Agriculture and Irrigation,Creative Commons Attribution International (CC BY),food security;livelihoods,xlsx,Dataset shows the Value of Recorded Marketed Agricultural Production at Current Prices in kenya for the period of 2014 - 2018
aa135a9b-5023-4d04-87fc-43085fe456b7,Congo: Copernicus Vegetation Index Anomaly (FAPAR Anomaly),Copernicus,"European Commission, Joint Research Centre (JRC)",Creative Commons Attribution International (CC BY),drought;environment,geotiff,Fraction of Absorbed Photosynthetically Active Radiation (FAPAR) is a biophysical dimensionless quantity (its values range from 0/no absorption to 1/total absorption) used to assess the greenness and health of vegetation. FAPAR anomalies can be used as an indicator to detect and monitor the impacts of agricultural drought on the growth and producti…
c74d1089-08a2-487c-a27e-bcf309013c9b,Food Insecurity Mapping - West Africa (July - September 2013),HDX,FEWS NET,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),agriculture-livestock;climate-weather;complex emergency-conflict-security;food security,shp,"This Archive contains shapefiles for FEWS NET Food Security Outlook for <strong>East Africa</strong>. It was last updated on July 14, 2013. The classification used is <a href=""http://www.fews.net/nosso-trabalho/nosso-trabalho/classifica%C3%A7%C3%A3o-integrada-de-fases"">IPC V2.0 Compatible</a>, aimed to address acute food insecurity. The two shapefi…"
2e362edb-7e83-41e0-885c-5197b61fa4ba,Cambodia - 4W Flood Response,OCHA Regional Office for Asia and the Pacific (ROAP),Humanitarian Response Forum - Cambodia,Creative Commons Attribution International (CC BY),humanitarian response plan-hrp;who is doing what and where-3w-4w-5w,xlsx,4W Flood response for Cambodia
8bd621f9-1148-46cb-91e4-f79fc0c0406d,Afghanistan: Humanitarian Situation Monitoring (HSM) Round 5 KII (Analysis),REACH Initiative,REACH Initiative,Public Domain / No restrictions (CC0),displacement;education;food security;health;internally displaced persons-idp;markets;mental health;needs assessment;non-food items-nfi;protection;shelter;water sanitation and hygiene-wash,xlsx,"The Humanitarian Situation Monitoring (HSM) is a quarterly community-level multi-sectoral needs assessment. It builds upon the previously implemented Hard-to-Reach assessment and expanded its geographic coverage to encompass the entire country in early 2022, due to the shift in context. HSM aims to collect and then triangulate information regarding…"
1da20613-260c-44d7-80c1-112715e54b6c,Poland - Food Security and Nutrition Indicators,Food and Agriculture Organization (FAO) of the United Nations,FAOSTAT,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),food security;hxl;indicators;nutrition,csv,"Food Security and Nutrition Indicators for Poland. Contains data from the FAOSTAT <a href=""https://fenixservices.fao.org/faostat/static/bulkdownloads/datasets_E.json"">bulk data service</a>."
cd1c65e9-7ef4-4e48-bae2-29d93c9533fc,"Bonaire, Sint Eustatius and Saba - Health Indicators",World Health Organization,World Health Organization,Other,health;hxl;indicators;maternity,csv,"This dataset contains data from WHO's <a href=""https://www.who.int/gho/en/"">data portal</a> covering the following categories: Adolescent, Ageing, Air pollution, Assistive technology, Child, Child mortality, Cross-cutting, Dementia diagnosis, treatment and care, Environment and health, Foodborne Diseases Estimates, Global Dementia Observatory (GDO)…"
6ca7490d-3e86-49b5-9dca-e908ac24f181,"Iraq - Iraq Multi Cluster Need Assessment, 2016",UNHCR - The UN Refugee Agency,REACH,Other,education;facilities-infrastructure;food security;health;livelihoods;needs assessment;protection;shelter,pdf;web app,"The Multi Cluster Needs Assessment (MCNA) is an iterative cluster-led program and the primary multi-cluster nationwide needs assessment in Iraq. It provides a quantitative evidence base for humanitarian decision makers with the purpose of informing planning, sector prioritization and target group identification. The MCNA seeks to understand multi-s…"
e98effbd-cd29-42f3-aefa-784c574303fb,"Jordan - Refugee Financial Inclusion and Financial Health, Baseline Survey - 2024",UNHCR - The UN Refugee Agency,UNHCR,Other,cash voucher assistance-cva;food security;health;livelihoods;needs assessment;nutrition;protection;survey,pdf;web app,"This dataset contains the baseline survey conducted to assess the financial inclusion and financial health of refugees in Jordan. The data collection for this survey took place between June and August 2024, hence prior to the fall of the Assad government in Syria in December 2024. The survey had the purpose to inform UNHCR, the broader humanitarian…"
e5934526-90fa-4dd7-ad7d-b3c0693c1679,Chad Near Term Projection  FEWS NET Acute Food Insecurity Classifications Geographic Data for 2016,FEWS NET,FEWS NET,Creative Commons Attribution International (CC BY),food security;integrated food security phase classification-ipc,geojson;kml,Chad Near Term Projection FEWS NET Acute Food Insecurity Classifications Geographic data for 2016
859ff4ab-cd8b-49e3-ab1f-1008f35797cb,Sint Maarten (Dutch part) - Data on forcibly displaced populations and stateless persons,UNHCR - The UN Refugee Agency,UNHCR,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),asylum seekers;hxl;internally displaced persons-idp;population;refugees;stateless persons,csv,"Data collated by UNHCR, containing information about forcibly displaced populations and stateless persons, spanning across more than 70 years of statistical activities. The data includes the countries / territories of asylum and origin. Specific resources are available for end-year population totals, demographics, asylum applications, decisions, an…"
d65a0bc6-01bf-4213-a761-5ac831155242,Faroe Islands: IBTrACS Storm Tracks,HDX,National Oceanic and Atmospheric Administration (NOAA) / National Centers for Environmental Information (NCEI),Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),cyclones-hurricanes-typhoons;hxl,csv;geojson,"The International Best Track Archive for Climate Stewardship (IBTrACS) project is the most complete global collection of tropical cyclones available. It merges recent and historical tropical cyclone data from multiple agencies to create a unified, publicly available, best-track dataset that improves inter-agency comparisons. Fields available: SID: …"
47457845-233d-435f-b401-823d0feca645,Ecuador - Education,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),education;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-ecuador"">consolidated country dataset</a> on HDX. Education is one of the most powerful instruments for reducing poverty and inequality and lays a foundation for susta…"
1a5269d1-2ac5-4684-ad07-2eab4e076d9a,Estonia: Daily Port Activity Data and Shipment Estimates,PortWatch,UN Global Platform; IMF PortWatch,Other,ports;trade,csv,"Daily count of port calls, estimates of incoming shipment volumes and outgoing shipment volumes (in metric tons) for ports in Estonia."
117d1aa6-fe38-439a-84f0-486b1c3dfe7b,Afghanistan - Climate Change,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),climate-weather;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-afghanistan"">consolidated country dataset</a> on HDX. Climate change is expected to hit developing countries the hardest. Its effects—higher temperatures, changes in p…"
f58dd5f5-e52e-4068-9185-3bb2f9a98f6c,Iran (Islamic Republic of) - Pregnancies,WorldPop,"WorldPop, University of Southampton, UK",Other,geodata;maternity,geotiff,"The health and survival of women and their new-born babies in low income countries is a key public health priority, but basic and consistent subnational data on the number of pregnancies to support decision making has been lacking. WorldPop integrates small area data on the distribution of women of childbearing age, age-specific fertility rates, st…"
