id,title,organization,hazard_types,exposure_categories,analysis_types,return_periods,signal_strength,hevl_combo
1bc0ce7c-451c-4507-bd2e-ec3589b861fb,Finland - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
208e5298-a9c5-4cb1-8ba9-6b0ffa802ba4,Rwanda - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
22072ee2-92a7-4529-baf4-cec0c8fd1f60,Saint Lucia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
231c32f8-bd8c-4d5a-a732-52e86e74d509,Timor-Leste - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
23aa5b69-0418-4528-8c28-d39b5d62b9ee,Peru - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
23af751e-84a4-44dd-bcc7-bcd758ad00a1,Germany - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
23c005e7-4d12-4e35-9f49-919ae48d0799,Austria - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
23e37e80-fc66-4964-b619-1cec810fd5ed,Niger - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2416d99b-5054-4675-8c4b-82d79f0a4772,Malaysia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
261bc6bd-93f7-42d2-99fb-e171e087458d,Portugal - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
265c93b9-22e0-4590-ab5f-f312fefed1b9,Brazil - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
26a5f322-1b91-4a88-9e35-31ae5c2d2992,Thailand - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
26b07299-2d4a-49b6-ae4a-4acb3aea7338,Côte d'Ivoire - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2863b058-c5a1-45fa-9a6d-888726853065,Kiribati - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2b510afe-36a7-4b0d-905d-b7e72f321ce9,Dominica - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2b94cae1-eda8-45ff-9ddb-499539562eb5,Comoros - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2c430be3-235e-467a-a68a-4c8197648e01,Gambia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2d3d67e7-da9a-4b31-abdf-5edbc82d47f2,Barbados - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2d928c07-4fff-4186-ab05-05f9475c5e15,Somalia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2f37631a-87fc-4dcb-9191-e44d785beea3,Democratic People's Republic of Korea - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
2f503fed-72e7-4e63-97e3-154931bf2926,Italy - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
312a56de-be0d-4fe5-8f4f-d3bf12bd7edb,Venezuela (Bolivarian Republic of) - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
32d9e115-8787-4105-8740-9b1ac1686919,Indonesia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
3395b2eb-acda-4228-a8b2-6eb3bc90ad75,Kuwait - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
34bc2275-f457-4c6d-8d3d-5c82edf36bfa,Norway - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
353859c1-248a-488a-9fbd-c6746328f144,Niue - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
38522965-b358-4e27-bb09-60f6b5dd28bb,Colombia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
3a6d788f-63fc-4c71-b6cc-fc9abf462a24,Sao Tome and Principe - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
3f64b9aa-8045-42c7-9f17-2fb3bd4a7df4,Uruguay - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
4175976f-2773-4d30-b6f0-d19730cac950,Fiji - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
41901034-088c-46da-934a-71249a663517,Bhutan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
429f8cb3-3bc2-45c6-845e-19810d2d92ee,Malawi - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
44a370bf-59b8-44c1-bd15-cf6e4d33fcc0,Costa Rica - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
4547e562-06e5-4457-84f4-24bf595589ba,Bosnia and Herzegovina - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
45a27861-bbe3-4820-a691-deceb3fb168f,Cambodia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
47158fc7-e68e-4c3b-89d0-f7d62dbcc71c,Nepal - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
4874548e-4cec-4683-a26e-23c23bb9a38e,Bahamas - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
493c42c1-3c4f-4546-90f9-9bc9d189b200,Congo - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
49720691-f7f6-49d7-ba5f-c68b02ffafdf,Armenia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
4c3d2030-5a52-4c0d-8392-0ddfebe6556a,Andorra - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
4e60b930-f57b-4b24-af4b-9d12acfbe668,Chile - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
4eeb4aa7-1d6c-4256-95e0-3a88956b6be6,Netherlands - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-EVL
52333ec2-1606-4034-ab87-f34da4c192f8,Tuvalu - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
569b10b6-cd94-4613-8a85-c358cba15685,Lebanon - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
5838186d-c3bd-4cfa-90bb-d347eaf7b71b,Honduras - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
5ac99cc1-449f-43e3-a876-755d1beef29b,Republic of Moldova - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
5e16b1a7-de6f-4a03-8c49-8479249cbe84,Romania - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
5ebcc0d3-624b-40c7-8e6d-7c523f23b312,Bolivia (Plurinational State of) - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
60156c9b-10c6-4fff-bfd9-752c13fd6117,Papua New Guinea - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
60a6b8a4-a503-47a8-b7d5-45373fb9767e,Sudan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
63d825b8-c866-40cd-b9da-3be2d26e3212,Trinidad and Tobago - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
645fe24f-18de-477d-97ad-15c96f62ad95,Kyrgyzstan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
64b1e62e-a877-4149-a172-35692500ef14,Chad - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
655f6da2-dc7e-43cd-b50a-7f72e25c32d1,Cuba - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
66d2c1db-d2c9-44c3-b1cc-77edebc453d7,Singapore - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
6718a658-a093-48a2-a85c-0d75423643ea,New Zealand - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
67a5a323-5e16-4eb7-92a2-aaa9f98f36b4,Togo - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
682ab835-f576-4cad-846a-c10de6d8f20a,Guatemala - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
682b44d7-3b0d-434e-99f6-82174763f3f7,Ecuador - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
69163bd8-5d7d-465e-b12c-ffd89f7b9bf8,Ethiopia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
69dfffe4-e754-4b92-81be-ea65c5cf23bd,Azerbaijan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
6b794c65-6965-462b-99d1-62febe57ac3a,Djibouti - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
6b9bd26c-b42e-45cb-9550-ae58c2960126,Ukraine - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
6bc4b43e-3e34-42be-a492-420dc71f29f0,Greece - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
6c032293-aa07-497d-9e38-40c2ec80c6fd,Switzerland - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
6c6b4d2f-8b35-4f49-b640-efcd3aea73b9,Georgia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
6e31c135-4763-4d9d-92fe-3b4dd728c565,Slovenia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
70d135eb-2898-462b-8eb3-fb96176e24cc,Myanmar - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
71d4fe01-82df-407e-99d9-45853e16950f,Belgium - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
72681859-acac-4991-a0cc-6a04aad2877a,Benin - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
72b30387-411e-4f48-aad1-6ce7a00eb108,Liberia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
77d3be5a-b815-48e7-9ff2-57a05d4ce5f9,Burkina Faso - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
7872d815-c693-41d3-80e8-175e15f1acd6,Equatorial Guinea - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
7946c12c-9e12-453e-9d2d-eb1cb467da75,Nicaragua - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
794714e9-46af-43b3-be97-93ab906e5a8a,Netherlands (Kingdom of the) - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
79bdd0fc-e1df-47f7-8eee-1ebf07d73db9,Iraq - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
7cb67b12-cb8e-41b6-8b8d-8b819ecf7eca,Sweden - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
7dfa2313-24ca-4229-8cc2-451fdaded5cc,Belarus - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8074304f-0bf8-4ae3-9aac-204654fef9e2,Slovakia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8103cce1-96cd-43dc-b051-e7a4ab731673,Cameroon - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
813fe108-98a0-44dd-89eb-8a5bc9f5ec97,Lao People's Democratic Republic - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
82eb33ac-205b-4a59-9b63-8f4954c2bb35,Botswana - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
862fd586-119e-4a30-830e-2f0bf9140138,Tajikistan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
86ed7f7e-9cf3-48d6-9fd9-3ade8687941f,Suriname - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
88381b46-404c-439e-b588-c0b03f407c70,Iceland - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8aa64245-54c8-4177-bf4d-75a98bd315e9,Solomon Islands - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8bc16cf5-1ba4-45cc-9594-2c47b39dbf16,Saint Kitts and Nevis - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8c03c3fb-f448-4bca-8b5c-51ea8510ee49,Morocco - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8c407cec-a993-4928-bdbe-33cfaaee69c3,Gabon - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8e248d04-1d9c-4888-9edf-02ea2ca41fc5,Central African Republic - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8e91ed03-8d7e-46c2-b583-39852080f3c5,Russian Federation - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
8f226cb6-d5a0-4b16-a461-be9cb78dd822,Spain - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
9117cd23-a6bc-4904-a477-c72fcb393dcd,France - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
914e006e-45cc-49a2-bbfa-6aefca7c36d5,United States of America - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
954d146e-22e1-499d-9282-10052551d9ef,Bulgaria - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
9561c14a-b644-466f-a32b-9befc9a8c433,United Republic of Tanzania - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
95fd0c3c-02de-46d1-a1cc-e3c16b660d98,Micronesia (Federated States of) - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
964e7f0e-11f9-4bcd-b4de-1d20a75b6551,Canada - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
9757a4db-0a46-436a-af04-57498aee44ce,Kenya - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
98687a0a-dc8b-49bf-9c07-a8f83508c482,Argentina - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
989565d3-35f3-4571-953b-2a0c1dc346fe,Democratic Republic of the Congo - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
99145221-8093-4471-8f2e-aaa2fd6dddb7,Sri Lanka - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
998040f0-0576-4f87-9cd6-fce5a3e9efe5,Paraguay - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
99bdba5d-f2bf-409b-868e-6c4cb3704a93,Republic of Korea - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
9a11f1e6-b394-466c-9fa2-d6ab28c5935e,State of Palestine - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
9ca6f279-5c1a-443d-b36e-0a5ca1615ab9,Algeria - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
9f2cb81f-ed1e-40c2-9171-4c69f633ccdd,Uzbekistan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
9f6bcf4a-5184-4179-b9fd-a0e215667e17,Senegal - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a05b30fa-2696-47e6-ac13-7ff4b1d71d6f,Israel - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a07aef19-6e2a-4ded-8dc4-60716eed243e,Mexico - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a1a72dd4-0fad-418c-b998-b21d417a962b,Panama - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a3eb88f1-7539-4901-9914-593febf3207f,India - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a55652a1-de44-431c-a5cd-2df92ac94ecc,Maldives - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a6cf2ed8-832d-4c76-8163-b5aa07fb3e3f,South Sudan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a82a2140-4d31-4506-ad12-10db73f5f4f6,Turkey - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-EVL
a895ec2a-70fc-46ec-8409-ea7d3cf5ad5b,Palau - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
a93f3d8c-337b-40a5-82f0-2e46b33a6f67,Guinea-Bissau - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
ab48cf72-e257-4a01-b8b6-f3ea32fb759d,Jamaica - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
abcca92e-4249-418b-8d2e-82c3dd7d428d,Cook Islands - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
